value,description
CW147,P232 - Protect from moisture.
CW148,P233 - Keep container tightly closed.
CW149,P234 - Keep only in original container.
CW150,P235 - Keep cool.
CW151,P240 - Ground/bond container and receiving equipment.
CW152,P241 - Use explosion-proof electrical/ventilating/lighting/…/equipment.
CW153,P242 - Use only non-sparking tools.
CW154,P243 - Take precautionary measures against static discharge.
CW155,P244 - Keep reduction valves free from grease and oil.
CW156,P250 - Do not subject to grinding/shock/…/friction.
CW157,"P251 - Pressurized container: Do not pierce or burn, even after use."
CW158,P260 - Do not breathe dust/fume/gas/mist/vapours/spray.
CW159,P261 - Avoid breathing dust/fume/gas/mist/vapours/spray.
CW160,"P262 - Do not get in eyes, on skin, or on clothing."
CW161,P263 - Avoid contact during pregnancy/while nursing.
CW162,P264 - Wash thoroughly after handling.
CW163,"P270 - Do not eat, drink or smoke when using this product."
CW164,P271 - Use only outdoors or in a well-ventilated area.
CW165,P272 - Contaminated work clothing should not be allowed out of the workplace.
CW166,P273 - Avoid release to the environment.
CW167,P280 - Wear protective gloves/protective clothing/eye protection/face protection.
CW168,P281 - Use personal protective equipment as required.
CW169,P282 - Wear cold insulating gloves/face shield/eye protection.
CW170,P283 - Wear fire/flame resistant/retardant clothing.
CW171,P284 - Wear respiratory protection.
CW172,P285 - In case of inadequate ventilation wear respiratory protection.
CW173,P231 + P232 - Handle under inert gas. Protect from moisture.
CW175,P301 - IF SWALLOWED: P310 - Immediately call a POISON CENTER or doctor/physician.
CW176,P302 - IF ON SKIN: P310 - Immediately call a POISON CENTER or doctor/physician.
CW177,P303 - IF ON SKIN (or hair): P310 - Immediately call a POISON CENTER or doctor/physician.
CW178,P304 - IF INHALED: P310 - Immediately call a POISON CENTER or doctor/physician.
CW179,P305 - IF IN EYES: P310 - Immediately call a POISON CENTER or doctor/physician.
CW180,P306 - IF ON CLOTHING: P312 - Call a POISON CENTER or doctor/physician if you feel unwell.
CW181,P307 - IF exposed: P310 - Immediately call a POISON CENTER or doctor/physician.
CW182,P308 - IF exposed or concerned: P310 - Immediately call a POISON CENTER or doctor/physician.
CW183,P309 - IF exposed or if you feel unwell: P310 - Immediately call a POISON CENTER or doctor/physician.
